Name,Tag,Last War,Town Hall,Clan,Total Wars
bibhu,#9R9JP000V,6/25/2021,11,Killer_Black_Wf,9
Robin,#L2RCPVJV,6/25/2021,10,Killer_Black_Wf,14
⚠KaBbOoM⚠,#9JU8LR2UY,6/25/2021,10,Killer_Black_Wf,4
luca,#L09J8JPY0,6/25/2021,10,Killer_Black_Wf,6
marbear,#Y8QUY2LLQ,6/25/2021,9,Killer_Black_Wf,4
Hypathios,#82C9UC0U9,6/25/2021,12,Killer_Black_Wf,23
Devinn,#V0UQ2LC,6/25/2021,10,Killer_Black_Wf,11
Harvey,#PUGJ2R0C,6/25/2021,10,Killer_Black_Wf,9
Kramer,#YYLC2CJ20,6/25/2021,9,Killer_Black_Wf,14
WOUTER,#22200C9QL,6/25/2021,9,Killer_Black_Wf,4
ZARD,#LJ92JJ8Q,6/25/2021,10,Killer_Black_Wf,16
Dagerson,#V9LQRUJR,6/25/2021,10,Killer_Black_Wf,12
o0o_Jerson_o0o,#PL9VLC9RP,6/25/2021,11,Killer_Black_Wf,36
Elusive,#PJRGJUY08,6/25/2021,10,Killer_Black_Wf,4
Sandip!,#2GCV29CGG,6/25/2021,9,Killer_Black_Wf,27
DonCorleone,#2CYVR82QQ,6/25/2021,9,Killer_Black_Wf,11
Grandma 去,#P29R0UYJP,6/25/2021,10,Killer_Black_Wf,16
The Dude,#8P0YU0098,6/24/2021,14,Dark Matter,14
OVO_Drip Lord,#YV2LL2R8G,6/24/2021,12,Dark Matter,11
French Fry,#2UC829Q0R,6/24/2021,14,Dark Matter,37
Big Mac,#9P9GR08Y,6/24/2021,13,Dark Matter,37
Pix,#2U2LLLQVV,6/24/2021,13,Dark Matter,36
Trap Master,#2JQGJ8LU9,6/23/2021,10,Sheer Force,9
GAWD,#PJCPC8280,6/23/2021,10,Sheer Force,28
MY5T3RY5M4RT13,#L0JV0LQR0,6/23/2021,10,Sheer Force,12
You,#LUGV8UP2C,6/23/2021,8,Sheer Force,1
Baby Dragon,#LPU228892,6/23/2021,9,Killer_Black_Wf,7
hippie god,#8022280QL,6/23/2021,8,Legendary Monks,4
kingTzilla,#2LQ9Y8CUR,6/23/2021,8,Legendary Monks,10
Onahole,#8PP29PLC8,6/23/2021,10,Legendary Monks,36
Elixir,#PCQVY2RUJ,6/23/2021,8,Legendary Monks,34
Designerpog,#QP2LUC009,6/23/2021,8,Legendary Monks,14
Come-Stayin,#PVVP028R8,6/23/2021,7,Legendary Monks,39
⚔️FC Warrior⚔️,#LVJ0LPCU9,6/23/2021,8,Legendary Monks,21
Leviathan,#Q9GUCYJ98,6/23/2021,7,Legendary Monks,3
Jimbooo,#QPPCJ8RJ8,6/23/2021,8,Legendary Monks,10
PENCIL,#LUUYL909Y,6/23/2021,8,Legendary Monks,23
Beyond,#Q0PYP8U0V,6/23/2021,9,Legendary Monks,35
joker face,#QPYRLQVC9,6/23/2021,8,Legendary Monks,12
Nathan,#P8PU0U8JU,6/23/2021,8,Legendary Monks,2
Kruptos,#Q9CP8QJJR,6/23/2021,10,Killer_Black_Wf,22
OUTTVT1ME,#LGPV08RLJ,6/23/2021,9,Legendary Monks,29
FrenzyJon,#90J0RPY2,6/23/2021,8,Legendary Monks,4
Sprinter,#Q2828PRLG,6/23/2021,8,Legendary Monks,31
Burns,#LC02LYCL8,6/23/2021,9,Legendary Monks,31
Hoodie,#Q9CQR8J0U,6/23/2021,7,Legendary Monks,3
Alex The Brave,#Q8YQ0CCQ2,6/23/2021,6,Mini Matter,12
Unmesh,#Q902PRLCQ,6/23/2021,6,Mini Matter,3
qwertyuiop6,#LPPQJQYJU,6/23/2021,10,Killer_Black_Wf,26
Blue,#JCYYY9VY,6/21/2021,11,Sheer Force,28
Baby Dream,#LCQYULLVR,6/21/2021,7,Legendary Monks,25
Master Of ATT,#YY8YQCPP8,6/21/2021,8,Legendary Monks,6
John,#2G0R9YRCR,6/21/2021,9,Legendary Monks,4
Alex The Strong,#Q9PU2PJJL,6/21/2021,7,Legendary Monks,15
Murple,#LJCPUJYYC,6/21/2021,9,Legendary Monks,28
Alex The Great,#Q9P9JCVRV,6/20/2021,6,Dark Matter,12
Darth Kenobi,#LQLRRPL2J,6/20/2021,#N/A,#N/A,5
Hero,#2GQ22RCCG,6/20/2021,10,Killer_Black_Wf,10
Tricky,#RGVCJJUY,6/19/2021,11,Dark Matter,10
laruee47,#QYU0RRGJL,6/19/2021,8,Legendary Monks,25
hfgbs,#2CY29YCL2,6/19/2021,7,Legendary Monks,3
Mr. CoCo,#Q9VGC0CQ8,6/19/2021,7,Legendary Monks,33
Chief Romanski,#Q8RL90GGC,6/19/2021,6,Mini Matter,1
Kiwi,#2C9LR9P2Q,6/18/2021,12,Dark Matter,6
Aurora,#LQYQLGRQY,6/18/2021,10,Dark Matter,24
Lindberghh II,#LUCC0GYPY,6/18/2021,10,Killer_Black_Wf,2
curtickle,#Q08UPC0G,6/18/2021,10,Killer_Black_Wf,25
Xenpachi,#LJJLUL92L,6/17/2021,9,Sheer Force,3
Collin,#PP2L0LUL9,6/16/2021,14,Dark Matter,11
Sloth,#Y9V8LUCLQ,6/15/2021,9,Killer_Black_Wf,7
DarkLight,#Q89UJYRV0,6/15/2021,9,Legendary Monks,28
Lil Willy,#YRUR8VUL2,6/15/2021,8,Legendary Monks,10
NotoriousBRFITE,#JR8UQ2GY,6/14/2021,14,Dark Matter,24
Mnoon,#YCQCP0U02,6/13/2021,9,Legendary Monks,4
f2,#LUPYQ0G9C,6/13/2021,9,Sheer Force,1
iopo,#LYR9JGUYQ,6/13/2021,9,Killer_Black_Wf,3
Bot ryze,#LVQ0C20U2,6/12/2021,9,Legendary Monks,24
verbxtiim,#YRJ8YUVLU,6/12/2021,8,Legendary Monks,15
StringFire,#92RVQGR0C,6/12/2021,13,Dark Matter,9
smooth-ie,#LVQQG9JJV,6/1/2021,8,Legendary Monks,7
sillysilas,#Y9P0RUU0,6/1/2021,12,Dark Matter,23
Pixal™️,#PGJRLJG2C,6/1/2021,13,Legendary Monks,4
Gutti Guy 2,#Y9LCJP8LQ,6/1/2021,9,Legendary Monks,3
verbadxmb,#QY28G89RP,6/1/2021,8,Legendary Monks,3
Chewi ⭐⭐⭐⭐⭐,#P08LRYVYJ,6/1/2021,9,Legendary Monks,5
Baby Dragon,#98P0GPCQC,6/1/2021,14,Legendary Monks,4
joyel,#82RPPRU9J,6/1/2021,12,Legendary Monks,13
COVID-19,#9R89Q2VC9,6/1/2021,13,Killer_Black_Wf,3
"Drew, And",#GL9JRQR2,6/1/2021,Member,Champion League II,5
Luca,#8J2LGRUU,6/1/2021,11,Killer_Black_Wf,18
Gutti Guy 5,#LLPPPC0UR,6/1/2021,6,Mini Matter,25
Bullet,#9PC2U8G98,6/1/2021,14,Dark Matter,24
Triton,#J9RGCLGL,6/1/2021,14,Dark Matter,8
aid,#CVYC8LQV,6/1/2021,13,Dark Matter,1
S.T.A.R.,#LR0LJQ9C9,5/31/2021,#N/A,#N/A,12
F.I.N.E.,#99Q0PLVPC,5/31/2021,#N/A,#N/A,9
Wet Nightmare,#LQ0PGV0LJ,5/31/2021,14,Killer_Black_Wf,2
G.O.L.D.,#Y0GLU0G9Y,5/31/2021,#N/A,#N/A,4
turtle,#P2JLJU89L,5/31/2021,14,Legendary Monks,2
koo1aid 22,#Y2RU9C00P,5/31/2021,11,Dark Matter,1
Syckno,#PU0GUCPJC,5/30/2021,#N/A,#N/A,2
Nick v2,#QPCGUVVQC,5/30/2021,8,Legendary Monks,4
Baby Tekashi,#9RYCCPV8G,5/30/2021,8,Killer_Black_Wf,3
Alex The Wise,#Q9GL90U28,5/26/2021,6,Killer_Black_Wf,14
ゲーワライ,#YPV0JUQYU,5/23/2021,#N/A,#N/A,20
Sarge Luca,#QPR9CP8PY,5/17/2021,6,Mini Matter,6
CalDon,#PPCJCJ9J9,4/26/2021,#N/A,#N/A,9
Eric,#2LPCUCLYR,4/22/2021,#N/A,#N/A,15
Left Pix,#82GLJC8YQ,4/22/2021,#N/A,#N/A,16
Joyel!!,#9C2QLPYLC,4/18/2021,10,Killer_Black_Wf,14
Majïn Lex,#LG0LRVLPJ,4/17/2021,#N/A,#N/A,1
Darth Yoda,#LCVUGVYLU,4/14/2021,3,Killer_Black_Wf,4
S.E.V.E.N,#PL8L99U2Q,4/6/2021,#N/A,#N/A,13
JUMBO JUICE,#Q2LU9RCC8,4/2/2021,4,Mini Matter,13
kitaisaboss,#PVJYRRQPR,4/1/2021,#N/A,#N/A,13
C.R.E.A.T.E.,#YVJLYPRVG,4/1/2021,#N/A,#N/A,7
Jumbo Snack,#LVU80LJ2J,4/1/2021,4,Mini Matter,8
Fruit Gummie,#Q28JPV8Y2,3/30/2021,3,Mini Matter,7
turtlette,#PJUVP2GUC,3/30/2021,#N/A,#N/A,6
ob,#YL8LRVYVJ,3/28/2021,9,Sheer Force,1
Zedsaz,#VU0QPY8,3/11/2021,#N/A,#N/A,1
Rianto,#9LLVCUY8C,3/11/2021,#N/A,#N/A,4
clan warrior 17,#C80C8UUC,3/1/2021,#N/A,#N/A,3
mini-Notorious,#J909RC9P,3/1/2021,#N/A,#N/A,4
AxeDon,#P8UGUPGGJ,,#N/A,#N/A,0
LeGend NiAzii❤,#2RLGUU9RY,,#N/A,#N/A,0
Pixal,#QP00RQV0,,#N/A,#N/A,0
JimJam,#LUY90RY09,,#N/A,#N/A,0
Bella,#2JRQ2LGLC,,#N/A,#N/A,0
Shilkins,#2P89QVU8,,#N/A,#N/A,0
Tacos,#YRPQYYGCJ,,#N/A,#N/A,0
SyZyGy,#L2VVUJ8JC,,#N/A,#N/A,0
Darth Leia,#LUCYLPLLG,,#N/A,#N/A,0
chewii,#9Y999U0CU,,#N/A,#N/A,0
mini string,#PUYCRJC,,14,Mini Matter,0
Machete Juice,#LRLVJGUYC,,8,Mini Matter,0
chris,#LCPY89G2L,,6,Mini Matter,0
Valkyrie,#QQV2C209R,,6,Mini Matter,0
Babyface,#QQVCPJRJG,,4,Mini Matter,0
BEDWARSop,#Q2UQUGLC2,,5,Mini Matter,0
Noah,#QQRQ0V2PY,,5,Mini Matter,0
Elite_Potato,#LCQ8JVJQ9,,5,Mini Matter,0
moosemilk,#QY8YQGPR2,,6,Mini Matter,0
darkness,#LURGUJV8J,,3,Mini Matter,0
Andre.,#QPQ802Y0C,,3,Mini Matter,0
Evann,#Q92P0RYVR,,5,Mini Matter,0
killer,#QP2YUPP00,,4,Mini Matter,0
bane,#Q92JLCUL8,,3,Mini Matter,0
papi,#QYYJ2R2LR,,5,Mini Matter,0
ShavenHaven,#9U2R8PCR2,,3,Mini Matter,0
Fruit Smoothie,#Q2LUVJQPL,,3,Mini Matter,0
Ｃｌａｓｈｏｆ ｃｌａｎｓ,#QYQ0Q8V0Q,,#N/A,#N/A,0
Darth Lando,#LGVP9PP8C,,#N/A,#N/A,0
Darth Turtle,#LGRJYJGQ9,,#N/A,#N/A,0
shanks,#9GU8C0QYJ,,#N/A,#N/A,0
ANTOR KHAN,#8YLCPCGYU,,#N/A,#N/A,0
Hellboy,#PC8L99UJQ,,#N/A,#N/A,0
Eragon,#9CY9L0RGV,,#N/A,#N/A,0
tomaetuhs,#LCGRVQ92,,#N/A,#N/A,0
Makingking22,#LULPR2R22,,9,Legendary Monks,0
T.A.R.D.I.S.,#990J809JR,,7,Legendary Monks,0
Deno Da Phoque,#QPCC9V08Q,,7,Legendary Monks,0
Frice,#QP8YY2YQQ,,7,Legendary Monks,0
Mebi,#22PR9220R,,13,Dark Matter,0
Hut,#YR0QRUYCY,,11,Dark Matter,0
Logan,#280QYU8Y,,14,Sheer Force,0
BedwarsOP,#Q9QV9J2L8,,8,Sheer Force,0
